Edad,Ingresos_Anuales,Puntuacion_Credito
45.0,49094.43,519.0
61.0,70657.03,638.0
,,655.0
32.0,15551.2,475.0
34.0,19273.2,566.0
32.0,35863.36,645.0
25.0,,494.0
49.0,67240.25,610.0
47.0,39273.22,465.0
24.0,,435.0
45.0,39336.48,540.0
56.0,62302.64,566.0
30.0,20746.0,416.0
22.0,40791.08,556.0
51.0,77182.34,562.0
48.0,50225.72,521.0
23.0,24775.68,433.0
,26389.77,552.0
37.0,19454.17,
49.0,41050.92,601.0
24.0,8000.0,430.0
56.0,62302.64,566.0
54.0,72686.17,656.0
46.0,53344.03,655.0
20.0,,446.0
21.0,,381.0
59.0,44547.28,508.0
64.0,58928.11,527.0
44.0,48929.29,433.0
,28695.74,367.0
61.0,43543.96,515.0
42.0,54178.93,485.0
51.0,24684.96,
41.0,54853.67,546.0
64.0,68410.01,600.0
42.0,46993.97,619.0
45.0,56131.65,704.0
49.0,29991.18,456.0
56.0,62507.75,668.0
28.0,,475.0
56.0,51554.94,548.0
18.0,,447.0
39.0,19329.77,500.0
44.0,8000.0,395.0
44.0,45631.55,436.0
56.0,62507.75,668.0
56.0,36308.64,447.0
20.0,,594.0
,87009.16,621.0
23.0,,503.0
36.0,27898.29,515.0
41.0,36533.58,420.0
20.0,,569.0
21.0,,537.0
49.0,75445.5,604.0
41.0,25692.57,614.0
28.0,,399.0
,,546.0
41.0,47577.34,527.0
49.0,29991.18,456.0
53.0,35739.79,464.0
,66656.27,526.0
28.0,,475.0
25.0,,584.0
41.0,54853.67,546.0
33.0,40580.9,636.0
61.0,45976.43,494.0
49.0,56944.0,611.0
,49181.25,612.0
43.0,50614.89,615.0
43.0,55197.46,540.0
,8000.0,469.0
,17861.11,526.0
44.0,8000.0,395.0
,24892.64,349.0
65.0,62011.39,
51.0,24684.96,
31.0,19749.33,477.0
59.0,53823.13,520.0
42.0,32830.15,565.0
34.0,34040.78,411.0
62.0,52678.17,592.0
26.0,,539.0
54.0,37584.96,448.0
,36741.54,585.0
54.0,57024.76,547.0
38.0,40107.49,525.0
39.0,44302.16,693.0
41.0,43640.2,581.0
38.0,44384.54,535.0
38.0,38117.28,584.0
56.0,37717.54,470.0
61.0,70657.03,638.0
,24892.64,349.0
18.0,,633.0
33.0,28438.89,543.0
33.0,28438.89,543.0
29.0,,498.0
30.0,15006.36,408.0
21.0,38653.01,595.0
43.0,31970.3,442.0
26.0,,486.0
54.0,51680.75,520.0
60.0,49069.08,645.0
25.0,,582.0
61.0,53757.57,465.0
,36247.88,422.0
46.0,63849.02,615.0
23.0,19117.65,433.0
28.0,26296.81,434.0
37.0,39287.09,
24.0,,486.0
57.0,46320.96,520.0
54.0,39744.13,457.0
64.0,54019.18,615.0
19.0,42936.62,508.0
36.0,50707.14,
45.0,41409.91,503.0
49.0,44587.07,
43.0,53995.77,516.0
59.0,34945.55,575.0
46.0,56934.26,566.0
62.0,52247.72,586.0
52.0,30934.19,
24.0,,604.0
,31609.26,549.0
40.0,10787.75,346.0
57.0,31243.15,554.0
53.0,28563.92,464.0
42.0,47093.9,461.0
52.0,27583.25,513.0
19.0,,454.0
19.0,8000.0,452.0
53.0,54975.53,557.0
41.0,70569.88,621.0
31.0,19749.33,477.0
58.0,44113.67,492.0
51.0,43718.6,543.0
40.0,27834.43,549.0
23.0,21055.88,431.0
43.0,40500.13,520.0
25.0,,336.0
52.0,44578.95,617.0
45.0,36298.06,599.0
34.0,32411.41,388.0
37.0,40256.46,
44.0,45631.55,436.0
44.0,70085.81,618.0
41.0,43679.12,535.0
19.0,18605.31,456.0
23.0,,612.0
23.0,,527.0
34.0,32411.41,388.0
19.0,,431.0
26.0,,457.0
20.0,,564.0
55.0,38434.73,539.0
53.0,52605.23,407.0
54.0,29987.17,340.0
52.0,44578.95,617.0
,31532.77,403.0
18.0,10211.48,422.0
21.0,,447.0
18.0,8000.0,
43.0,9741.02,300.0
18.0,8000.0,422.0
40.0,27636.49,456.0
21.0,,447.0
47.0,45946.09,
25.0,,459.0
27.0,,389.0
52.0,34412.19,491.0
49.0,21728.73,435.0
41.0,8000.0,375.0
